id,tas_project_id,title,year,author,bibtex_source,added_by_username,project_id,forum,link,month,publication_type,doi,status,checked_for_duplicates,reviewed_by_id,reviewed_comment,reviewed_date,submitted_date,ticket_id,normalized_forum_id
224,,Enabling reliable main memory using STT-MRAM via restore-aware memory management,2017.0,Armin Haj Aboutalebi and Lide Duan,"{""booktitle"": ""Proceedings of the 2017 International Conference on Compilers, Architectures and Synthesis for Embedded Systems Companion"", ""title"": ""Enabling reliable main memory using {STT}-{MRAM} via restore-aware memory management"", ""author"": ""Armin Haj Aboutalebi and Lide Duan"", ""publisher"": ""{ACM}"", ""month"": ""oct"", ""year"": ""2017"", ""url"": ""https://doi.org/10.1145%2F3125501.3125517"", ""doi"": ""10.1145/3125501.3125517"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Aboutalebi_2017""}",admin,190.0,"CASES '17: Proceedings of the 2017 International Conference on Compilers, Architectures and Synthesis for Embedded Systems Companion, ACM",https://doi.org/10.1145%2F3125501.3125517,10.0,conference paper,10.1145/3125501.3125517,APPROVED,1,,,,,,643.0
225,,iCELIA: A Full-Stack Framework for STT-MRAM-Based Deep Learning Acceleration,2020.0,Hao Yan and Hebin R. Cherian and Ethan C. Ahn and Xuehai Qian and Lide Duan,"{""journal"": ""IEEE Trans. Parallel Distrib. Syst. Transactions on Parallel and Distributed Systems"", ""title"": ""{iCELIA}: A Full-Stack Framework for {STT}-{MRAM}-Based Deep Learning Acceleration"", ""author"": ""Hao Yan and Hebin R. Cherian and Ethan C. Ahn and Xuehai Qian and Lide Duan"", ""pages"": ""408--422"", ""number"": ""2"", ""volume"": ""31"", ""publisher"": ""Institute of Electrical and Electronics Engineers ({IEEE})"", ""month"": ""feb"", ""year"": ""2020"", ""url"": ""https://doi.org/10.1109%2Ftpds.2019.2937517"", ""doi"": ""10.1109/tpds.2019.2937517"", ""ENTRYTYPE"": ""article"", ""ID"": ""Yan_2020""}",admin,190.0,"IEEE Transactions on Parallel and Distributed Systems, Volume: 31, Issue: 2",https://doi.org/10.1109%2Ftpds.2019.2937517,2.0,journal article,10.1109/tpds.2019.2937517,SUBMITTED,1,,,,,,
226,,Improving the SSD Performance by Exploiting Request Characteristics and Internal Parallelism,2018.0,Bo Mao and Suzhen Wu and Lide Duan,"{""journal"": ""IEEE Trans. Comput.-Aided Des. Integr. Circuits Syst. Transactions on Computer-Aided Design of Integrated Circuits and Systems"", ""title"": ""Improving the {SSD} Performance by Exploiting Request Characteristics and Internal Parallelism"", ""author"": ""Bo Mao and Suzhen Wu and Lide Duan"", ""pages"": ""472--484"", ""number"": ""2"", ""volume"": ""37"", ""publisher"": ""Institute of Electrical and Electronics Engineers ({IEEE})"", ""month"": ""feb"", ""year"": ""2018"", ""url"": ""https://doi.org/10.1109%2Ftcad.2017.2697961"", ""doi"": ""10.1109/tcad.2017.2697961"", ""ENTRYTYPE"": ""article"", ""ID"": ""Mao_2018""}",admin,190.0,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems, Volume: 37, Issue: 2",https://doi.org/10.1109%2Ftcad.2017.2697961,2.0,journal article,10.1109/tcad.2017.2697961,APPROVED,1,,,,,,644.0
227,,Enabling NVM-based deep learning acceleration using nonuniform data quantization,2017.0,Hao Yan and Ethan C. Ahn and Lide Duan,"{""booktitle"": ""Proceedings of the 2017 International Conference on Compilers, Architectures and Synthesis for Embedded Systems Companion"", ""title"": ""Enabling {NVM}-based deep learning acceleration using nonuniform data quantization"", ""author"": ""Hao Yan and Ethan C. Ahn and Lide Duan"", ""publisher"": ""{ACM}"", ""month"": ""oct"", ""year"": ""2017"", ""url"": ""https://doi.org/10.1145%2F3125501.3125516"", ""doi"": ""10.1145/3125501.3125516"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Yan_2017""}",admin,190.0,"Proceedings of the 2017 International Conference on Compilers, Architectures and Synthesis for Embedded Systems Companion, ACM",https://doi.org/10.1145%2F3125501.3125516,10.0,conference paper,10.1145/3125501.3125516,APPROVED,1,,,,,,643.0
228,,Efficient Allocation and Heterogeneous Composition of NVM Crossbar Arrays for Deep Learning Acceleration,2018.0,Hao Yan and Armin Haj Aboutalebi and Lide Duan,"{""booktitle"": ""2018 {IEEE} 37th International Performance Computing and Communications Conference ({IPCCC})"", ""title"": ""Efficient Allocation and Heterogeneous Composition of {NVM} Crossbar Arrays for Deep Learning Acceleration"", ""author"": ""Hao Yan and Armin Haj Aboutalebi and Lide Duan"", ""publisher"": ""{IEEE}"", ""month"": ""nov"", ""year"": ""2018"", ""url"": ""https://doi.org/10.1109%2Fpccc.2018.8711283"", ""doi"": ""10.1109/pccc.2018.8711283"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Yan_2018""}",admin,190.0,"2018 IEEE 37th International Performance Computing and Communications Conference (IPCCC), IEEE",https://doi.org/10.1109%2Fpccc.2018.8711283,11.0,conference paper,10.1109/pccc.2018.8711283,APPROVED,1,,,,,,645.0
229,,Mitigating and Tolerating Read Disturbance in STT-MRAM-Based Main Memory via Device and Architecture Innovations,2019.0,Armin Haj Aboutalebi and Ethan C. Ahn and Bo Mao and Suzhen Wu and Lide Duan,"{""journal"": ""IEEE Trans. Comput.-Aided Des. Integr. Circuits Syst. Transactions on Computer-Aided Design of Integrated Circuits and Systems"", ""title"": ""Mitigating and Tolerating Read Disturbance in {STT}-{MRAM}-Based Main Memory via Device and Architecture Innovations"", ""author"": ""Armin Haj Aboutalebi and Ethan C. Ahn and Bo Mao and Suzhen Wu and Lide Duan"", ""pages"": ""2229--2242"", ""number"": ""12"", ""volume"": ""38"", ""publisher"": ""Institute of Electrical and Electronics Engineers ({IEEE})"", ""month"": ""dec"", ""year"": ""2019"", ""url"": ""https://doi.org/10.1109%2Ftcad.2018.2878166"", ""doi"": ""10.1109/tcad.2018.2878166"", ""ENTRYTYPE"": ""article"", ""ID"": ""Haj_Aboutalebi_2019""}",admin,190.0,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems ( Volume: 38, Issue: 12, December 2019)",https://doi.org/10.1109%2Ftcad.2018.2878166,12.0,journal article,10.1109/tcad.2018.2878166,APPROVED,1,,,,,,644.0
232,,Teaching Big Data and Cloud Computing: A Modular Approach,2018.0,Debzani Deb and Sebastian Cousins and Muztaba Fuad,"{""booktitle"": ""2018 {IEEE} International Parallel and Distributed Processing Symposium Workshops ({IPDPSW})"", ""title"": ""Teaching Big Data and Cloud Computing: A Modular Approach"", ""author"": ""Debzani Deb and Sebastian Cousins and Muztaba Fuad"", ""publisher"": ""{IEEE}"", ""month"": ""may"", ""year"": ""2018"", ""url"": ""https://doi.org/10.1109%2Fipdpsw.2018.00070"", ""doi"": ""10.1109/ipdpsw.2018.00070"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Deb_2018""}",admin,354.0,"2018 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW), IEEE",https://doi.org/10.1109%2Fipdpsw.2018.00070,5.0,conference paper,10.1109/ipdpsw.2018.00070,APPROVED,1,,chameleon webpage,,,,581.0
235,,Real-Time Data Analysis and Autonomous Steering of Synchrotron Light Source Experiments,2017.0,Tekin Bicer and Doga Gursoy and Rajkumar Kettimuthu and Ian T. Foster and Bin Ren and Vincent De Andrede and Francesco De Carlo,"{""booktitle"": ""2017 {IEEE} 13th International Conference on e-Science (e-Science)"", ""title"": ""Real-Time Data Analysis and Autonomous Steering of Synchrotron Light Source Experiments"", ""author"": ""Tekin Bicer and Doga Gursoy and Rajkumar Kettimuthu and Ian T. Foster and Bin Ren and Vincent De Andrede and Francesco De Carlo"", ""publisher"": ""{IEEE}"", ""month"": ""oct"", ""year"": ""2017"", ""url"": ""https://doi.org/10.1109%2Fescience.2017.53"", ""doi"": ""10.1109/escience.2017.53"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Bicer_2017""}",admin,654.0,"2017 IEEE 13th International Conference on e-Science (e-Science), IEEE",https://doi.org/10.1109%2Fescience.2017.53,10.0,conference paper,10.1109/escience.2017.53,APPROVED,1,,,,,,646.0
236,,Trace: a high-throughput tomographic reconstruction engine for large-scale datasets,2017.0,Tekin Bicer and Doa Gürsoy and Vincent De Andrade and Rajkumar Kettimuthu and William Scullin and Francesco De Carlo and Ian T. Foster,"{""journal"": ""Adv Struct Chem Imag"", ""title"": ""Trace: a high-throughput tomographic reconstruction engine for large-scale datasets"", ""author"": ""Tekin Bicer and Do{\\u{g}}a G\u00fcrsoy and Vincent De Andrade and Rajkumar Kettimuthu and William Scullin and Francesco De Carlo and Ian T. Foster"", ""number"": ""1"", ""volume"": ""3"", ""publisher"": ""Springer Science and Business Media {LLC}"", ""month"": ""jan"", ""year"": ""2017"", ""url"": ""https://doi.org/10.1186%2Fs40679-017-0040-7"", ""doi"": ""10.1186/s40679-017-0040-7"", ""ENTRYTYPE"": ""article"", ""ID"": ""Bicer_2017""}",admin,654.0,Advanced Structural and Chemical Imaging,https://doi.org/10.1186%2Fs40679-017-0040-7,1.0,conference paper,10.1186/s40679-017-0040-7,APPROVED,1,,,,,,647.0
238,,Rapid Tomographic Image Reconstruction via Large-Scale Parallelization,2015.0,Tekin Bicer and Doga Gursoy and Rajkumar Kettimuthu and Francesco De Carlo and Gagan Agrawal and Ian T. Foster,"{""booktitle"": ""Lecture Notes in Computer Science"", ""title"": ""Rapid Tomographic Image Reconstruction via Large-Scale Parallelization"", ""author"": ""Tekin Bicer and Doga Gursoy and Rajkumar Kettimuthu and Francesco De Carlo and Gagan Agrawal and Ian T. Foster"", ""pages"": ""289--302"", ""publisher"": ""Springer Berlin Heidelberg"", ""year"": ""2015"", ""url"": ""https://doi.org/10.1007%2F978-3-662-48096-0_23"", ""doi"": ""10.1007/978-3-662-48096-0_23"", ""ENTRYTYPE"": ""incollection"", ""ID"": ""Bicer_2015""}",admin,654.0,Euro-Par 2015: Parallel Processing,https://doi.org/10.1007%2F978-3-662-48096-0_23,,journal article,10.1007/978-3-662-48096-0_23,APPROVED,1,,,,,,574.0
239,,Spark-DIY: A Framework for Interoperable Spark Operations with High Performance Block-Based Data Models,2018.0,Silvina Caino-Lores and Jesus Carretero and Bogdan Nicolae and Orcun Yildiz and Tom Peterka,"{""booktitle"": ""2018 {IEEE}/{ACM} 5th International Conference on Big Data Computing Applications and Technologies ({BDCAT})"", ""title"": ""Spark-{DIY}: A Framework for Interoperable Spark Operations with High Performance Block-Based Data Models"", ""author"": ""Silvina Caino-Lores and Jesus Carretero and Bogdan Nicolae and Orcun Yildiz and Tom Peterka"", ""publisher"": ""{IEEE}"", ""month"": ""dec"", ""year"": ""2018"", ""url"": ""https://doi.org/10.1109%2Fbdcat.2018.00010"", ""doi"": ""10.1109/bdcat.2018.00010"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Caino_Lores_2018""}",admin,445.0,"2018 IEEE/ACM 5th International Conference on Big Data Computing Applications and Technologies (BDCAT), IEEE",https://doi.org/10.1109%2Fbdcat.2018.00010,12.0,conference paper,10.1109/bdcat.2018.00010,APPROVED,1,,,,,,648.0
240,,Statically inferring performance properties of software configurations,2020.0,Chi Li and Shu Wang and Henry Hoffmann and Shan Lu,"{""booktitle"": ""Proceedings of the Fifteenth European Conference on Computer Systems"", ""title"": ""Statically inferring performance properties of software configurations"", ""author"": ""Chi Li and Shu Wang and Henry Hoffmann and Shan Lu"", ""publisher"": ""{ACM}"", ""month"": ""apr"", ""year"": ""2020"", ""url"": ""https://doi.org/10.1145%2F3342195.3387520"", ""doi"": ""10.1145/3342195.3387520"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Li_2020""}",admin,533.0,"EuroSys '20: Proceedings of the Fifteenth European Conference on Computer Systems, ACM",https://doi.org/10.1145%2F3342195.3387520,4.0,conference paper,10.1145/3342195.3387520,APPROVED,1,,,,,,649.0
243,,The Curious Case of Container Orchestration and Scheduling in GPU-based Datacenters,2018.0,Prashanth Thinakaran and Jashwant Raj and Bikash Sharma and Mahmut T. Kandemir and Chita R. Das,"{""booktitle"": ""Proceedings of the {ACM} Symposium on Cloud Computing"", ""title"": ""The Curious Case of Container Orchestration and Scheduling in {GPU}-based Datacenters"", ""author"": ""Prashanth Thinakaran and Jashwant Raj and Bikash Sharma and Mahmut T. Kandemir and Chita R. Das"", ""publisher"": ""{ACM}"", ""month"": ""oct"", ""year"": ""2018"", ""url"": ""https://doi.org/10.1145%2F3267809.3275466"", ""doi"": ""10.1145/3267809.3275466"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Thinakaran_2018""}",admin,341.0,SoCC '18: Proceedings of the ACM Symposium on Cloud Computing,https://doi.org/10.1145%2F3267809.3275466,10.0,conference paper,10.1145/3267809.3275466,APPROVED,1,,,,,,540.0
246,,Overcoming resource underutilization in spatial CNN accelerators,2016.0,Yongming Shen and Michael Ferdman and Peter Milder,"{""booktitle"": ""2016 26th International Conference on Field Programmable Logic and Applications ({FPL})"", ""title"": ""Overcoming resource underutilization in spatial {CNN} accelerators"", ""author"": ""Yongming Shen and Michael Ferdman and Peter Milder"", ""publisher"": ""{IEEE}"", ""month"": ""aug"", ""year"": ""2016"", ""url"": ""https://doi.org/10.1109%2Ffpl.2016.7577315"", ""doi"": ""10.1109/fpl.2016.7577315"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Shen_2016""}",admin,341.0,"2016 26th International Conference on Field Programmable Logic and Applications (FPL), IEEE",https://doi.org/10.1109%2Ffpl.2016.7577315,8.0,conference paper,10.1109/fpl.2016.7577315,SUBMITTED,1,,,,,,
247,,How not to structure your database-backed web applications: a study of performance bugs in the wild,2018.0,Junwen Yang and Pranav Subramaniam and Shan Lu and Cong Yan and Alvin Cheung,"{""booktitle"": ""Proceedings of the 40th International Conference on Software Engineering"", ""title"": ""How\nnot\nto structure your database-backed web applications"", ""author"": ""Junwen Yang and Pranav Subramaniam and Shan Lu and Cong Yan and Alvin Cheung"", ""publisher"": ""{ACM}"", ""month"": ""may"", ""year"": ""2018"", ""url"": ""https://doi.org/10.1145%2F3180155.3180194"", ""doi"": ""10.1145/3180155.3180194"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Yang_2018""}",admin,340.0,"ICSE '18: 40th International Conference on Software Engineering, ACM",https://doi.org/10.1145%2F3180155.3180194,5.0,conference paper,10.1145/3180155.3180194,APPROVED,1,,,,,,650.0
248,,PowerStation: automatically detecting and fixing inefficiencies of database-backed web applications in IDE,2018.0,Junwen Yang and Cong Yan and Pranav Subramaniam and Shan Lu and Alvin Cheung,"{""booktitle"": ""Proceedings of the 2018 26th {ACM} Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering"", ""title"": ""{PowerStation}: automatically detecting and fixing inefficiencies of database-backed web applications in {IDE}"", ""author"": ""Junwen Yang and Cong Yan and Pranav Subramaniam and Shan Lu and Alvin Cheung"", ""publisher"": ""{ACM}"", ""month"": ""oct"", ""year"": ""2018"", ""url"": ""https://doi.org/10.1145%2F3236024.3264589"", ""doi"": ""10.1145/3236024.3264589"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Yang_2018""}",admin,340.0,ESEC/FSE 2018: Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,https://doi.org/10.1145%2F3236024.3264589,10.0,conference paper,10.1145/3236024.3264589,APPROVED,1,,,,,,651.0
249,,Managing data constraints in database-backed web applications,2020.0,Junwen Yang and Utsav Sethi and Cong Yan and Alvin Cheung and Shan Lu,"{""booktitle"": ""Proceedings of the {ACM}/{IEEE} 42nd International Conference on Software Engineering: Companion Proceedings"", ""title"": ""Managing data constraints in database-backed web applications"", ""author"": ""Junwen Yang and Utsav Sethi and Cong Yan and Alvin Cheung and Shan Lu"", ""publisher"": ""{ACM}"", ""month"": ""jun"", ""year"": ""2020"", ""url"": ""https://doi.org/10.1145%2F3377812.3390798"", ""doi"": ""10.1145/3377812.3390798"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Yang_2020""}",admin,340.0,"Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Companion Proceedings, ACM",https://doi.org/10.1145%2F3377812.3390798,6.0,conference paper,10.1145/3377812.3390798,APPROVED,1,,,,,,650.0
250,,Predicting the End-to-End Tail Latency of Containerized Microservices in the Cloud,2019.0,Joy Rahman and Palden Lama,"{""booktitle"": ""2019 {IEEE} International Conference on Cloud Engineering ({IC}2E)"", ""title"": ""Predicting the End-to-End Tail Latency of Containerized Microservices in the Cloud"", ""author"": ""Joy Rahman and Palden Lama"", ""publisher"": ""{IEEE}"", ""month"": ""jun"", ""year"": ""2019"", ""url"": ""https://doi.org/10.1109%2Fic2e.2019.00034"", ""doi"": ""10.1109/ic2e.2019.00034"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Rahman_2019""}",admin,100.0,"2019 IEEE International Conference on Cloud Engineering (IC2E), IEEE",https://doi.org/10.1109%2Fic2e.2019.00034,6.0,conference paper,10.1109/ic2e.2019.00034,APPROVED,1,,chameleon webpage,,,,561.0
251,,Reasoning Analytically about Password-Cracking Software,2019.0,Enze Liu and Amanda Nakanishi and Maximilian Golla and David Cash and Blase Ur,"{""booktitle"": ""2019 {IEEE} Symposium on Security and Privacy ({SP})"", ""title"": ""Reasoning Analytically about Password-Cracking Software"", ""author"": ""Enze Liu and Amanda Nakanishi and Maximilian Golla and David Cash and Blase Ur"", ""publisher"": ""{IEEE}"", ""month"": ""may"", ""year"": ""2019"", ""url"": ""https://doi.org/10.1109%2Fsp.2019.00070"", ""doi"": ""10.1109/sp.2019.00070"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Liu_2019""}",admin,613.0,"2019 IEEE Symposium on Security and Privacy (SP), IEEE",https://doi.org/10.1109%2Fsp.2019.00070,5.0,conference paper,10.1109/sp.2019.00070,APPROVED,1,,,,,,652.0
255,,Spherical Latent Spaces for Stable Variational Autoencoders,2018.0,Jiacheng Xu and Greg Durrett,"{""booktitle"": ""Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing"", ""title"": ""Spherical Latent Spaces for Stable Variational Autoencoders"", ""author"": ""Jiacheng Xu and Greg Durrett"", ""publisher"": ""Association for Computational Linguistics"", ""year"": ""2018"", ""url"": ""https://doi.org/10.18653%2Fv1%2Fd18-1480"", ""doi"": ""10.18653/v1/d18-1480"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Xu_2018""}",admin,167.0,"Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, Association for Computational Linguistics",https://doi.org/10.18653%2Fv1%2Fd18-1480,,conference paper,10.18653/v1/d18-1480,APPROVED,1,,,,,,543.0
256,,Effective Use of Context in Noisy Entity Linking,2018.0,David Mueller and Greg Durrett,"{""booktitle"": ""Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing"", ""title"": ""Effective Use of Context in Noisy Entity Linking"", ""author"": ""David Mueller and Greg Durrett"", ""publisher"": ""Association for Computational Linguistics"", ""year"": ""2018"", ""url"": ""https://doi.org/10.18653%2Fv1%2Fd18-1126"", ""doi"": ""10.18653/v1/d18-1126"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Mueller_2018""}",admin,167.0,"Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, Association for Computational Linguistics",https://doi.org/10.18653%2Fv1%2Fd18-1126,,conference paper,10.18653/v1/d18-1126,APPROVED,1,,,,,,543.0
257,,Learning to Denoise Distantly-Labeled Data for Entity Typing,2019.0,Yasumasa Onoe and Greg Durrett,"{""booktitle"": ""Proceedings of the 2019 Conference of the North"", ""title"": ""Learning to Denoise Distantly-Labeled Data for Entity Typing"", ""author"": ""Yasumasa Onoe and Greg Durrett"", ""publisher"": ""Association for Computational Linguistics"", ""year"": ""2019"", ""url"": ""https://doi.org/10.18653%2Fv1%2Fn19-1250"", ""doi"": ""10.18653/v1/n19-1250"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Onoe_2019""}",admin,167.0,"Proceedings of the 2019 Conference of the North, Association for Computational Linguistics",https://doi.org/10.18653%2Fv1%2Fn19-1250,,conference paper,10.18653/v1/n19-1250,APPROVED,1,,,,,,653.0
258,,Understanding Dataset Design Choices for Multi-hop Reasoning,2019.0,Jifan Chen and Greg Durrett,"{""booktitle"": ""Proceedings of the 2019 Conference of the North"", ""title"": ""Understanding Dataset Design Choices for Multi-hop Reasoning"", ""author"": ""Jifan Chen and Greg Durrett"", ""publisher"": ""Association for Computational Linguistics"", ""year"": ""2019"", ""url"": ""https://doi.org/10.18653%2Fv1%2Fn19-1405"", ""doi"": ""10.18653/v1/n19-1405"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Chen_2019""}",admin,167.0,"Proceedings of the 2019 Conference of the North, Association for Computational Linguistics",https://doi.org/10.18653%2Fv1%2Fn19-1405,,conference paper,10.18653/v1/n19-1405,APPROVED,1,,,,,,653.0
259,,Ultra-Fine Entity Typing,2018.0,Eunsol Choi and Omer Levy and Yejin Choi and Luke Zettlemoyer,"{""booktitle"": ""Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"", ""title"": ""Ultra-Fine Entity Typing"", ""author"": ""Eunsol Choi and Omer Levy and Yejin Choi and Luke Zettlemoyer"", ""publisher"": ""Association for Computational Linguistics"", ""year"": ""2018"", ""url"": ""https://doi.org/10.18653%2Fv1%2Fp18-1009"", ""doi"": ""10.18653/v1/p18-1009"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Choi_2018""}",admin,167.0,"Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), Association for Computational Linguistics",https://doi.org/10.18653%2Fv1%2Fp18-1009,,conference paper,10.18653/v1/p18-1009,APPROVED,1,,,,,,654.0
260,,Neural Extractive Text Summarization with Syntactic Compression,2019.0,Jiacheng Xu and Greg Durrett,"{""booktitle"": ""Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing ({EMNLP}-{IJCNLP})"", ""title"": ""Neural Extractive Text Summarization with Syntactic Compression"", ""author"": ""Jiacheng Xu and Greg Durrett"", ""publisher"": ""Association for Computational Linguistics"", ""year"": ""2019"", ""url"": ""https://doi.org/10.18653%2Fv1%2Fd19-1324"", ""doi"": ""10.18653/v1/d19-1324"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Xu_2019""}",admin,167.0,"Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP), Association for Computational Linguistics",https://doi.org/10.18653%2Fv1%2Fd19-1324,,conference paper,10.18653/v1/d19-1324,APPROVED,1,,chameleon scalable,,,,543.0
261,,Fine-Grained Entity Typing for Domain Independent Entity Linking,2020.0,Yasumasa Onoe and Greg Durrett,"{""journal"": ""AAAI Conference on Artificial Intelligence"", ""title"": ""Fine-Grained Entity Typing for Domain Independent Entity Linking"", ""author"": ""Yasumasa Onoe and Greg Durrett"", ""pages"": ""8576--8583"", ""number"": ""05"", ""volume"": ""34"", ""publisher"": ""Association for the Advancement of Artificial Intelligence ({AAAI})"", ""month"": ""apr"", ""year"": ""2020"", ""url"": ""https://doi.org/10.1609%2Faaai.v34i05.6380"", ""doi"": ""10.1609/aaai.v34i05.6380"", ""ENTRYTYPE"": ""article"", ""ID"": ""Onoe_2020""}",admin,167.0,The Thirty-Fourth AAAI Conference on Artificial Intelligence (AAAI-20),https://doi.org/10.1609%2Faaai.v34i05.6380,4.0,conference paper,10.1609/aaai.v34i05.6380,APPROVED,1,,,,,,542.0
262,,RIVA: Robust Integrity Verification Algorithm for High-Speed File Transfers,2020.0,Batyr Charyyev and Engin Arslan,"{""journal"": ""IEEE Trans. Parallel Distrib. Syst. Transactions on Parallel and Distributed Systems"", ""title"": ""{RIVA}: Robust Integrity Verification Algorithm for High-Speed File Transfers"", ""author"": ""Batyr Charyyev and Engin Arslan"", ""pages"": ""1387--1399"", ""number"": ""6"", ""volume"": ""31"", ""publisher"": ""Institute of Electrical and Electronics Engineers ({IEEE})"", ""month"": ""jun"", ""year"": ""2020"", ""url"": ""https://doi.org/10.1109%2Ftpds.2020.2966616"", ""doi"": ""10.1109/tpds.2020.2966616"", ""ENTRYTYPE"": ""article"", ""ID"": ""Charyyev_2020""}",admin,515.0,"IEEE Transactions on Parallel and Distributed Systems ( Volume: 31, Issue: 6, 01 June 2020)",https://doi.org/10.1109%2Ftpds.2020.2966616,6.0,journal article,10.1109/tpds.2020.2966616,APPROVED,1,,,,,,621.0
263,,Towards Securing Data Transfers Against Silent Data Corruption,2019.0,Batyr Charyyev and Ahmed Alhussen and Hemanta Sapkota and Eric Pouyoul and Mehmet Hadi Gunes and Engin Arslan,"{""booktitle"": ""2019 19th {IEEE}/{ACM} International Symposium on Cluster, Cloud and Grid Computing ({CCGRID})"", ""title"": ""Towards Securing Data Transfers Against Silent Data Corruption"", ""author"": ""Batyr Charyyev and Ahmed Alhussen and Hemanta Sapkota and Eric Pouyoul and Mehmet Hadi Gunes and Engin Arslan"", ""publisher"": ""{IEEE}"", ""month"": ""may"", ""year"": ""2019"", ""url"": ""https://doi.org/10.1109%2Fccgrid.2019.00040"", ""doi"": ""10.1109/ccgrid.2019.00040"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Charyyev_2019""}",admin,515.0,"2019 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID), IEEE",https://doi.org/10.1109%2Fccgrid.2019.00040,5.0,conference paper,10.1109/ccgrid.2019.00040,APPROVED,1,,,,,,578.0
265,,RIVAChain: Blockchain-based Integrity Verification for File Transfers,2020.0,Ahmed Alhussen and Engin Arslan,"{""booktitle"": ""2020 {IEEE} International Conference on Big Data (Big Data)"", ""title"": ""{RIVAChain}: Blockchain-based Integrity Verification for File Transfers"", ""author"": ""Ahmed Alhussen and Engin Arslan"", ""publisher"": ""{IEEE}"", ""month"": ""dec"", ""year"": ""2020"", ""url"": ""https://doi.org/10.1109%2Fbigdata50022.2020.9378235"", ""doi"": ""10.1109/bigdata50022.2020.9378235"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Alhussen_2020""}",admin,515.0,"2020 IEEE International Conference on Big Data (Big Data), IEEE",https://doi.org/10.1109%2Fbigdata50022.2020.9378235,12.0,conference paper,10.1109/bigdata50022.2020.9378235,APPROVED,1,,,,,,582.0
266,,Real-time genetic optimization of large file transfers,2020.0,Hemanta Sapkota and Engin Arslan and Sushil Louis,"{""booktitle"": ""Proceedings of the 2020 Genetic and Evolutionary Computation Conference Companion"", ""title"": ""Real-time genetic optimization of large file transfers"", ""author"": ""Hemanta Sapkota and Engin Arslan and Sushil Louis"", ""publisher"": ""{ACM}"", ""month"": ""jul"", ""year"": ""2020"", ""url"": ""https://doi.org/10.1145%2F3377929.3389917"", ""doi"": ""10.1145/3377929.3389917"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""Sapkota_2020""}",admin,515.0,"GECCO '20: Proceedings of the 2020 Genetic and Evolutionary Computation Conference Companion, ACM",https://doi.org/10.1145%2F3377929.3389917,7.0,conference paper,10.1145/3377929.3389917,APPROVED,1,,,,,,655.0
